Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM,Weighted Sum,Resolution Percentage
reduced_TB1_qAKKVXXXXXjapXXXXXXXXXX-20-20.png,TB1_qAKKVXXXXXjapXXXXXXXXXX-20-20.png,https://img.alicdn.com/tps/TB1_qAKKVXXXXXjapXXXXXXXXXX-20-20.png,1.36328125,1.0,0.0,1.0,1.4912109375,1.36328125,1.0,100,1.0,1.0,5.0
reduced_TB1yEqRPXXXXXXPXpXXXXXXXXXX-20-20.png,TB1yEqRPXXXXXXPXpXXXXXXXXXX-20-20.png,https://img.alicdn.com/tps/TB1yEqRPXXXXXXPXpXXXXXXXXXX-20-20.png,1.36328125,1.0462940753178225,0.0027472527472527,1.0,1.4912109375,1.36328125,1.0,100,1.0,1.0027472527472527,5.0
reduced_TB14MWoNhjaK1RjSZFAwu2dLFXa.png,TB14MWoNhjaK1RjSZFAwu2dLFXa.png,https://img.alicdn.com/tfscom/TB14MWoNhjaK1RjSZFAwu2dLFXa.png,1.6328125,1.1338705484793348,0.0757211538461538,0.953443258971872,4.328125,0.6259765625,1.0,90,1.0,1.0291644128180255,5.0
reduced_O1CN01a69z6z1hJklCkBqOU_!!6000000004257-2-tps-174-106.png,O1CN01a69z6z1hJklCkBqOU_!!6000000004257-2-tps-174-106.png,https://img.alicdn.com/imgextra/i2/O1CN01a69z6z1hJklCkBqOU_!!6000000004257-2-tps-174-106.png,8.3076171875,65.10447761194044,0.031668956043956,1.0,14.4873046875,8.3076171875,1.0,100,1.0,1.031668956043956,5.0
reduced_O1CN01rjCXEO1yXoR5lsMZO_!!6000000006589-0-tps-198-40.jpg,O1CN01rjCXEO1yXoR5lsMZO_!!6000000006589-0-tps-198-40.jpg,https://img.alicdn.com/imgextra/i4/O1CN01rjCXEO1yXoR5lsMZO_!!6000000006589-0-tps-198-40.jpg,1.6845703125,1.0106580166821133,0.0543956043956044,1.0,1.46875,1.6845703125,1.0,100,0.9464949791258891,1.0543956043956044,35.0
reduced_O1CN01Tr5MzE1FrMdQVXJbC_!!6000000000540-2-tps-238-40.png,O1CN01Tr5MzE1FrMdQVXJbC_!!6000000000540-2-tps-238-40.png,https://img.alicdn.com/imgextra/i3/O1CN01Tr5MzE1FrMdQVXJbC_!!6000000000540-2-tps-238-40.png,15.333984375,1.0106580166821133,0.0653846153846153,1.0,16.7177734375,14.3740234375,1.0,90,1.0,1.0653846153846154,5.0
reduced_O1CN01Hs1MVu1IDvM07YrGh_!!6000000000860-2-tps-293-143.png,O1CN01Hs1MVu1IDvM07YrGh_!!6000000000860-2-tps-293-143.png,https://gw.alicdn.com/imgextra/i1/O1CN01Hs1MVu1IDvM07YrGh_!!6000000000860-2-tps-293-143.png,5.5361328125,0.9895644283121598,0.0711950549450549,1.24746192893401,12.6640625,4.7666015625,1.0,90,1.0,1.318656983879065,5.0
reduced_O1CN01mSSWCC1v45prMUvzF_!!0-item_pic.jpg_220x10000Q75.jpg_.webp,O1CN01mSSWCC1v45prMUvzF_!!0-item_pic.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i2/2201484016118/O1CN01mSSWCC1v45prMUvzF_!!0-item_pic.jpg_220x10000Q75.jpg_.webp,9.21484375,2.9021956087824354,0.3324175824175824,1.0,3.05859375,9.21484375,1.0,100,0.9279956536059031,1.3324175824175823,5.0
reduced_O1CN01c2E9LU1Zx7sfAyMki_!!6000000003260-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN01c2E9LU1Zx7sfAyMki_!!6000000003260-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i1/6000000003260/O1CN01c2E9LU1Zx7sfAyMki_!!6000000003260-0-picassoopen.jpg_220x10000Q75.jpg_.webp,11.115234375,3.884238646482636,0.3324175824175824,1.0,3.755859375,11.115234375,1.0,100,0.9122694326801363,1.3324175824175823,5.0
reduced_O1CN01KmHqG91R49PuBy1FL_!!6000000002057-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN01KmHqG91R49PuBy1FL_!!6000000002057-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i4/6000000002057/O1CN01KmHqG91R49PuBy1FL_!!6000000002057-0-picassoopen.jpg_220x10000Q75.jpg_.webp,11.126953125,3.884238646482636,0.3324175824175824,1.0,3.86328125,11.126953125,1.0,100,0.920628887440521,1.3324175824175823,5.0
