Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM
Azad-Seo-Logo.png,Azad-Seo-Logo.png,https://www.azadseo.com/wp-content/uploads/2022/03/Azad-Seo-Logo.png,15.3388671875,0.0025396825396825397,5760,166015625.0,15.3388671875,15.1728515625,1.0,80,1
coding-isometric-01.png,coding-isometric-01.png,https://www.azadseo.com/wp-content/uploads/2021/02/coding-isometric-01.png,20.546875,0.06958730158730159,100224,0.0,20.546875,20.546875,1.0,100,1
MASHAALLAH-removebg-preview-150x150.png,MASHAALLAH-removebg-preview-150x150.png,https://www.azadseo.com/wp-content/uploads/2022/03/MASHAALLAH-removebg-preview-150x150.png,13.9091796875,0.24596825396825397,22500,67382812.5,13.9091796875,13.841796875,1.0,80,1
Payment-Methods.png,Payment-Methods.png,https://www.azadseo.com/wp-content/uploads/2021/02/Payment-Methods.png,257.8408203125,0.5785396825396826,0,839843750.0,257.8408203125,257.0009765625,1.0,60,1
sheikh.jpg,sheikh.jpg,https://www.azadseo.com/wp-content/uploads/2022/03/sheikh.jpg,121.900390625,0.8482539682539683,5625,1233.6666538089398,121.900390625,15.4150390625,0.9136838535485036,15,1
shehbaz.jpg,shehbaz.jpg,https://www.azadseo.com/wp-content/uploads/2022/03/shehbaz.jpg,581.244140625,0.8979047619047619,5625,0.0,581.244140625,581.244140625,1.0,100,1
abeer.jpg,abeer.jpg,https://www.azadseo.com/wp-content/uploads/2022/03/abeer.jpg,58.6728515625,0.9353650793650794,5625,0.0,58.6728515625,58.6728515625,1.0,100,1
2705.png,2705.png,https://static.xx.fbcdn.net/images/emoji.php/v9/t33/1/16/2705.png,0.33984375,0.9492063492063492,256,0.0,0.33984375,0.33984375,1.0,100,1
2714.png,2714.png,https://static.xx.fbcdn.net/images/emoji.php/v9/t51/1/16/2714.png,0.39453125,0.9527619047619048,256,0.0,0.39453125,0.39453125,1.0,100,1
haider.jpg,haider.jpg,https://www.azadseo.com/wp-content/uploads/2022/04/haider.jpg,191.703125,0.9673650793650793,5625,0.0,191.703125,191.703125,1.0,100,1
1f607.png,1f607.png,https://static.xx.fbcdn.net/images/emoji.php/v9/t55/1/16/1f607.png,0.54296875,0.9810793650793651,256,0.0,0.54296875,0.54296875,1.0,100,1
